",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B"",""GeneSymbol"""
"242239_at,-0.524644719337784,4.84453190505763,-3.98424835966266,0.000612051556876462,0.165125500246814,-0.260956939114219,""NSUN6"""
"240932_at,-0.671707047186044,4.06801254062017,-3.98285738590926,0.000614142963709846,0.165125500246814,-0.263844913821733,""UBN2"""
"213924_at,1.17074911516992,8.2331694807131,3.982496911642,0.00061468611281184,0.165125500246814,-0.264593331747058,""GNAL"""
"1554779_s_at,-0.630996125389832,3.15642169213729,-3.98041245532036,0.000617836252371519,0.165125500246814,-0.268921023553379,""PHLDB2"""
"200621_at,0.827529122354562,12.0520222646071,3.97693286921381,0.000623130507340139,0.165125500246814,-0.276145001158405,""CSRP1"""
"206813_at,0.842926097913521,5.59211906516278,3.97193482453842,0.000630813966068053,0.165125500246814,-0.286520906294952,""CTF1"""
"209209_s_at,0.906031013058763,7.6192400300599,3.97036426685959,0.000633247723120151,0.165125500246814,-0.28978123654951,""FERMT2"""
"1555127_at,0.555713043575357,3.89852208757822,3.96719462418232,0.000638187843889522,0.165125500246814,-0.296360914592269,""MOCS1"""
"229168_at,1.1570123438155,5.20923747485925,3.96403623770028,0.000643148438409282,0.165125500246814,-0.302916952850506,""COL23A1"""
"206951_at,-1.59601638434092,5.77785177951019,-3.96094639388828,0.000648038378685435,0.165125500246814,-0.309330443910474,""H4C5"""
"220159_at,0.583767737135316,5.96736463636268,3.95939629169501,0.000650505416878106,0.165125500246814,-0.312547840104927,""ABCA11P"""
"1560316_s_at,-0.737229851697656,4.36009294058224,-3.958994437309,0.000651146499956927,0.165125500246814,-0.31338191890545,""GLCCI1"""
1554007_at,0.836747748548049,9.81484253254629,3.95734103031977,0.000653790798060469,0.165125500246814,-0.316813639686607,NA
"205525_at,0.920999783800776,7.03447413960237,3.95670402267981,0.000654812405085667,0.165125500246814,-0.318135756649786,""CALD1"""
"205305_at,-1.22187448397812,5.88134468005412,-3.954488114892,0.000658378533723049,0.165125500246814,-0.322734807404636,""FGL1"""
"227103_s_at,-0.838501361471335,5.71733145991982,-3.94848050144702,0.000668143932395852,0.165125500246814,-0.335202697019175,""ECE2"""
